Episode,Average Reward,Environment,Max Episodes,Learning Rate,Gamma,Hidden Layers,Seed
100,20,CartPole-v1,100000.0,0.0001,0.95,4,2
200,21,CartPole-v1,100000.0,0.0001,0.95,4,2
300,19,CartPole-v1,100000.0,0.0001,0.95,4,2
400,17,CartPole-v1,100000.0,0.0001,0.95,4,2
500,16,CartPole-v1,100000.0,0.0001,0.95,4,2
600,15,CartPole-v1,100000.0,0.0001,0.95,4,2
700,12,CartPole-v1,100000.0,0.0001,0.95,4,2
800,12,CartPole-v1,100000.0,0.0001,0.95,4,2
900,12,CartPole-v1,100000.0,0.0001,0.95,4,2
1000,11,CartPole-v1,100000.0,0.0001,0.95,4,2
1100,11,CartPole-v1,100000.0,0.0001,0.95,4,2
1200,12,CartPole-v1,100000.0,0.0001,0.95,4,2
1300,11,CartPole-v1,100000.0,0.0001,0.95,4,2
1400,11,CartPole-v1,100000.0,0.0001,0.95,4,2
1500,11,CartPole-v1,100000.0,0.0001,0.95,4,2
1600,11,CartPole-v1,100000.0,0.0001,0.95,4,2
1700,11,CartPole-v1,100000.0,0.0001,0.95,4,2
1800,11,CartPole-v1,100000.0,0.0001,0.95,4,2
1900,12,CartPole-v1,100000.0,0.0001,0.95,4,2
2000,12,CartPole-v1,100000.0,0.0001,0.95,4,2
2100,12,CartPole-v1,100000.0,0.0001,0.95,4,2
2200,12,CartPole-v1,100000.0,0.0001,0.95,4,2
2300,13,CartPole-v1,100000.0,0.0001,0.95,4,2
2400,15,CartPole-v1,100000.0,0.0001,0.95,4,2
2500,16,CartPole-v1,100000.0,0.0001,0.95,4,2
2600,18,CartPole-v1,100000.0,0.0001,0.95,4,2
2700,22,CartPole-v1,100000.0,0.0001,0.95,4,2
2800,21,CartPole-v1,100000.0,0.0001,0.95,4,2
2900,21,CartPole-v1,100000.0,0.0001,0.95,4,2
3000,18,CartPole-v1,100000.0,0.0001,0.95,4,2
3100,18,CartPole-v1,100000.0,0.0001,0.95,4,2
3200,16,CartPole-v1,100000.0,0.0001,0.95,4,2
3300,17,CartPole-v1,100000.0,0.0001,0.95,4,2
3400,17,CartPole-v1,100000.0,0.0001,0.95,4,2
3500,16,CartPole-v1,100000.0,0.0001,0.95,4,2
3600,20,CartPole-v1,100000.0,0.0001,0.95,4,2
3700,18,CartPole-v1,100000.0,0.0001,0.95,4,2
3800,19,CartPole-v1,100000.0,0.0001,0.95,4,2
3900,22,CartPole-v1,100000.0,0.0001,0.95,4,2
4000,21,CartPole-v1,100000.0,0.0001,0.95,4,2
4100,20,CartPole-v1,100000.0,0.0001,0.95,4,2
4200,21,CartPole-v1,100000.0,0.0001,0.95,4,2
4300,20,CartPole-v1,100000.0,0.0001,0.95,4,2
4400,19,CartPole-v1,100000.0,0.0001,0.95,4,2
4500,19,CartPole-v1,100000.0,0.0001,0.95,4,2
4600,22,CartPole-v1,100000.0,0.0001,0.95,4,2
4700,22,CartPole-v1,100000.0,0.0001,0.95,4,2
4800,21,CartPole-v1,100000.0,0.0001,0.95,4,2
4900,21,CartPole-v1,100000.0,0.0001,0.95,4,2
5000,22,CartPole-v1,100000.0,0.0001,0.95,4,2
5100,21,CartPole-v1,100000.0,0.0001,0.95,4,2
5200,21,CartPole-v1,100000.0,0.0001,0.95,4,2
5300,23,CartPole-v1,100000.0,0.0001,0.95,4,2
5400,22,CartPole-v1,100000.0,0.0001,0.95,4,2
5500,22,CartPole-v1,100000.0,0.0001,0.95,4,2
5600,21,CartPole-v1,100000.0,0.0001,0.95,4,2
5700,23,CartPole-v1,100000.0,0.0001,0.95,4,2
5800,20,CartPole-v1,100000.0,0.0001,0.95,4,2
5900,23,CartPole-v1,100000.0,0.0001,0.95,4,2
6000,22,CartPole-v1,100000.0,0.0001,0.95,4,2
6100,21,CartPole-v1,100000.0,0.0001,0.95,4,2
6200,20,CartPole-v1,100000.0,0.0001,0.95,4,2
6300,24,CartPole-v1,100000.0,0.0001,0.95,4,2
6400,23,CartPole-v1,100000.0,0.0001,0.95,4,2
6500,22,CartPole-v1,100000.0,0.0001,0.95,4,2
6600,23,CartPole-v1,100000.0,0.0001,0.95,4,2
6700,23,CartPole-v1,100000.0,0.0001,0.95,4,2
6800,23,CartPole-v1,100000.0,0.0001,0.95,4,2
6900,26,CartPole-v1,100000.0,0.0001,0.95,4,2
7000,22,CartPole-v1,100000.0,0.0001,0.95,4,2
7100,22,CartPole-v1,100000.0,0.0001,0.95,4,2
7200,22,CartPole-v1,100000.0,0.0001,0.95,4,2
7300,23,CartPole-v1,100000.0,0.0001,0.95,4,2
7400,23,CartPole-v1,100000.0,0.0001,0.95,4,2
7500,21,CartPole-v1,100000.0,0.0001,0.95,4,2
7600,25,CartPole-v1,100000.0,0.0001,0.95,4,2
7700,20,CartPole-v1,100000.0,0.0001,0.95,4,2
7800,21,CartPole-v1,100000.0,0.0001,0.95,4,2
7900,21,CartPole-v1,100000.0,0.0001,0.95,4,2
8000,20,CartPole-v1,100000.0,0.0001,0.95,4,2
8100,23,CartPole-v1,100000.0,0.0001,0.95,4,2
8200,23,CartPole-v1,100000.0,0.0001,0.95,4,2
8300,24,CartPole-v1,100000.0,0.0001,0.95,4,2
8400,25,CartPole-v1,100000.0,0.0001,0.95,4,2
8500,23,CartPole-v1,100000.0,0.0001,0.95,4,2
8600,23,CartPole-v1,100000.0,0.0001,0.95,4,2
8700,22,CartPole-v1,100000.0,0.0001,0.95,4,2
8800,24,CartPole-v1,100000.0,0.0001,0.95,4,2
8900,22,CartPole-v1,100000.0,0.0001,0.95,4,2
9000,21,CartPole-v1,100000.0,0.0001,0.95,4,2
9100,21,CartPole-v1,100000.0,0.0001,0.95,4,2
9200,21,CartPole-v1,100000.0,0.0001,0.95,4,2
9300,23,CartPole-v1,100000.0,0.0001,0.95,4,2
9400,20,CartPole-v1,100000.0,0.0001,0.95,4,2
9500,21,CartPole-v1,100000.0,0.0001,0.95,4,2
9600,21,CartPole-v1,100000.0,0.0001,0.95,4,2
9700,21,CartPole-v1,100000.0,0.0001,0.95,4,2
9800,22,CartPole-v1,100000.0,0.0001,0.95,4,2
9900,20,CartPole-v1,100000.0,0.0001,0.95,4,2
10000,22,CartPole-v1,100000.0,0.0001,0.95,4,2
10100,20,CartPole-v1,100000.0,0.0001,0.95,4,2
10200,20,CartPole-v1,100000.0,0.0001,0.95,4,2
10300,21,CartPole-v1,100000.0,0.0001,0.95,4,2
10400,22,CartPole-v1,100000.0,0.0001,0.95,4,2
10500,21,CartPole-v1,100000.0,0.0001,0.95,4,2
10600,21,CartPole-v1,100000.0,0.0001,0.95,4,2
10700,21,CartPole-v1,100000.0,0.0001,0.95,4,2
10800,20,CartPole-v1,100000.0,0.0001,0.95,4,2
10900,20,CartPole-v1,100000.0,0.0001,0.95,4,2
11000,21,CartPole-v1,100000.0,0.0001,0.95,4,2
11100,20,CartPole-v1,100000.0,0.0001,0.95,4,2
11200,22,CartPole-v1,100000.0,0.0001,0.95,4,2
11300,20,CartPole-v1,100000.0,0.0001,0.95,4,2
11400,20,CartPole-v1,100000.0,0.0001,0.95,4,2
11500,22,CartPole-v1,100000.0,0.0001,0.95,4,2
11600,20,CartPole-v1,100000.0,0.0001,0.95,4,2
11700,20,CartPole-v1,100000.0,0.0001,0.95,4,2
11800,22,CartPole-v1,100000.0,0.0001,0.95,4,2
11900,22,CartPole-v1,100000.0,0.0001,0.95,4,2
12000,21,CartPole-v1,100000.0,0.0001,0.95,4,2
12100,20,CartPole-v1,100000.0,0.0001,0.95,4,2
12200,22,CartPole-v1,100000.0,0.0001,0.95,4,2
12300,20,CartPole-v1,100000.0,0.0001,0.95,4,2
12400,22,CartPole-v1,100000.0,0.0001,0.95,4,2
12500,21,CartPole-v1,100000.0,0.0001,0.95,4,2
12600,22,CartPole-v1,100000.0,0.0001,0.95,4,2
12700,20,CartPole-v1,100000.0,0.0001,0.95,4,2
12800,20,CartPole-v1,100000.0,0.0001,0.95,4,2
12900,19,CartPole-v1,100000.0,0.0001,0.95,4,2
13000,21,CartPole-v1,100000.0,0.0001,0.95,4,2
13100,22,CartPole-v1,100000.0,0.0001,0.95,4,2
13200,20,CartPole-v1,100000.0,0.0001,0.95,4,2
13300,22,CartPole-v1,100000.0,0.0001,0.95,4,2
13400,22,CartPole-v1,100000.0,0.0001,0.95,4,2
13500,20,CartPole-v1,100000.0,0.0001,0.95,4,2
13600,21,CartPole-v1,100000.0,0.0001,0.95,4,2
13700,21,CartPole-v1,100000.0,0.0001,0.95,4,2
13800,20,CartPole-v1,100000.0,0.0001,0.95,4,2
13900,20,CartPole-v1,100000.0,0.0001,0.95,4,2
14000,19,CartPole-v1,100000.0,0.0001,0.95,4,2
14100,22,CartPole-v1,100000.0,0.0001,0.95,4,2
14200,21,CartPole-v1,100000.0,0.0001,0.95,4,2
14300,18,CartPole-v1,100000.0,0.0001,0.95,4,2
14400,20,CartPole-v1,100000.0,0.0001,0.95,4,2
14500,22,CartPole-v1,100000.0,0.0001,0.95,4,2
14600,20,CartPole-v1,100000.0,0.0001,0.95,4,2
