Episode,Average Reward,Environment,Max Episodes,Learning Rate,Gamma,Hidden Layers,Seed
100,20,CartPole-v1,100000.0,0.0001,0.9,4,6
200,20,CartPole-v1,100000.0,0.0001,0.9,4,6
300,18,CartPole-v1,100000.0,0.0001,0.9,4,6
400,15,CartPole-v1,100000.0,0.0001,0.9,4,6
500,14,CartPole-v1,100000.0,0.0001,0.9,4,6
600,13,CartPole-v1,100000.0,0.0001,0.9,4,6
700,11,CartPole-v1,100000.0,0.0001,0.9,4,6
800,11,CartPole-v1,100000.0,0.0001,0.9,4,6
900,11,CartPole-v1,100000.0,0.0001,0.9,4,6
1000,11,CartPole-v1,100000.0,0.0001,0.9,4,6
1100,10,CartPole-v1,100000.0,0.0001,0.9,4,6
1200,10,CartPole-v1,100000.0,0.0001,0.9,4,6
1300,10,CartPole-v1,100000.0,0.0001,0.9,4,6
1400,10,CartPole-v1,100000.0,0.0001,0.9,4,6
1500,10,CartPole-v1,100000.0,0.0001,0.9,4,6
1600,10,CartPole-v1,100000.0,0.0001,0.9,4,6
1700,10,CartPole-v1,100000.0,0.0001,0.9,4,6
1800,9,CartPole-v1,100000.0,0.0001,0.9,4,6
1900,9,CartPole-v1,100000.0,0.0001,0.9,4,6
2000,10,CartPole-v1,100000.0,0.0001,0.9,4,6
2100,9,CartPole-v1,100000.0,0.0001,0.9,4,6
2200,9,CartPole-v1,100000.0,0.0001,0.9,4,6
2300,9,CartPole-v1,100000.0,0.0001,0.9,4,6
2400,9,CartPole-v1,100000.0,0.0001,0.9,4,6
2500,9,CartPole-v1,100000.0,0.0001,0.9,4,6
2600,10,CartPole-v1,100000.0,0.0001,0.9,4,6
2700,10,CartPole-v1,100000.0,0.0001,0.9,4,6
2800,9,CartPole-v1,100000.0,0.0001,0.9,4,6
2900,9,CartPole-v1,100000.0,0.0001,0.9,4,6
3000,10,CartPole-v1,100000.0,0.0001,0.9,4,6
3100,9,CartPole-v1,100000.0,0.0001,0.9,4,6
3200,10,CartPole-v1,100000.0,0.0001,0.9,4,6
3300,10,CartPole-v1,100000.0,0.0001,0.9,4,6
3400,10,CartPole-v1,100000.0,0.0001,0.9,4,6
3500,10,CartPole-v1,100000.0,0.0001,0.9,4,6
3600,10,CartPole-v1,100000.0,0.0001,0.9,4,6
3700,10,CartPole-v1,100000.0,0.0001,0.9,4,6
3800,11,CartPole-v1,100000.0,0.0001,0.9,4,6
3900,11,CartPole-v1,100000.0,0.0001,0.9,4,6
4000,12,CartPole-v1,100000.0,0.0001,0.9,4,6
4100,12,CartPole-v1,100000.0,0.0001,0.9,4,6
4200,13,CartPole-v1,100000.0,0.0001,0.9,4,6
4300,16,CartPole-v1,100000.0,0.0001,0.9,4,6
4400,18,CartPole-v1,100000.0,0.0001,0.9,4,6
4500,24,CartPole-v1,100000.0,0.0001,0.9,4,6
4600,23,CartPole-v1,100000.0,0.0001,0.9,4,6
4700,21,CartPole-v1,100000.0,0.0001,0.9,4,6
4800,21,CartPole-v1,100000.0,0.0001,0.9,4,6
4900,18,CartPole-v1,100000.0,0.0001,0.9,4,6
5000,18,CartPole-v1,100000.0,0.0001,0.9,4,6
5100,17,CartPole-v1,100000.0,0.0001,0.9,4,6
5200,17,CartPole-v1,100000.0,0.0001,0.9,4,6
5300,18,CartPole-v1,100000.0,0.0001,0.9,4,6
5400,19,CartPole-v1,100000.0,0.0001,0.9,4,6
5500,21,CartPole-v1,100000.0,0.0001,0.9,4,6
5600,21,CartPole-v1,100000.0,0.0001,0.9,4,6
5700,23,CartPole-v1,100000.0,0.0001,0.9,4,6
5800,25,CartPole-v1,100000.0,0.0001,0.9,4,6
5900,25,CartPole-v1,100000.0,0.0001,0.9,4,6
6000,22,CartPole-v1,100000.0,0.0001,0.9,4,6
6100,20,CartPole-v1,100000.0,0.0001,0.9,4,6
6200,20,CartPole-v1,100000.0,0.0001,0.9,4,6
6300,22,CartPole-v1,100000.0,0.0001,0.9,4,6
6400,23,CartPole-v1,100000.0,0.0001,0.9,4,6
6500,25,CartPole-v1,100000.0,0.0001,0.9,4,6
6600,22,CartPole-v1,100000.0,0.0001,0.9,4,6
6700,24,CartPole-v1,100000.0,0.0001,0.9,4,6
6800,25,CartPole-v1,100000.0,0.0001,0.9,4,6
6900,23,CartPole-v1,100000.0,0.0001,0.9,4,6
7000,19,CartPole-v1,100000.0,0.0001,0.9,4,6
7100,23,CartPole-v1,100000.0,0.0001,0.9,4,6
7200,22,CartPole-v1,100000.0,0.0001,0.9,4,6
7300,23,CartPole-v1,100000.0,0.0001,0.9,4,6
7400,22,CartPole-v1,100000.0,0.0001,0.9,4,6
7500,23,CartPole-v1,100000.0,0.0001,0.9,4,6
7600,25,CartPole-v1,100000.0,0.0001,0.9,4,6
7700,22,CartPole-v1,100000.0,0.0001,0.9,4,6
7800,24,CartPole-v1,100000.0,0.0001,0.9,4,6
7900,25,CartPole-v1,100000.0,0.0001,0.9,4,6
8000,22,CartPole-v1,100000.0,0.0001,0.9,4,6
8100,24,CartPole-v1,100000.0,0.0001,0.9,4,6
8200,25,CartPole-v1,100000.0,0.0001,0.9,4,6
8300,22,CartPole-v1,100000.0,0.0001,0.9,4,6
8400,23,CartPole-v1,100000.0,0.0001,0.9,4,6
8500,22,CartPole-v1,100000.0,0.0001,0.9,4,6
8600,26,CartPole-v1,100000.0,0.0001,0.9,4,6
8700,21,CartPole-v1,100000.0,0.0001,0.9,4,6
8800,23,CartPole-v1,100000.0,0.0001,0.9,4,6
8900,23,CartPole-v1,100000.0,0.0001,0.9,4,6
9000,23,CartPole-v1,100000.0,0.0001,0.9,4,6
9100,25,CartPole-v1,100000.0,0.0001,0.9,4,6
9200,26,CartPole-v1,100000.0,0.0001,0.9,4,6
9300,25,CartPole-v1,100000.0,0.0001,0.9,4,6
9400,25,CartPole-v1,100000.0,0.0001,0.9,4,6
9500,27,CartPole-v1,100000.0,0.0001,0.9,4,6
9600,23,CartPole-v1,100000.0,0.0001,0.9,4,6
9700,24,CartPole-v1,100000.0,0.0001,0.9,4,6
9800,26,CartPole-v1,100000.0,0.0001,0.9,4,6
9900,25,CartPole-v1,100000.0,0.0001,0.9,4,6
10000,26,CartPole-v1,100000.0,0.0001,0.9,4,6
10100,25,CartPole-v1,100000.0,0.0001,0.9,4,6
10200,24,CartPole-v1,100000.0,0.0001,0.9,4,6
10300,23,CartPole-v1,100000.0,0.0001,0.9,4,6
10400,22,CartPole-v1,100000.0,0.0001,0.9,4,6
10500,25,CartPole-v1,100000.0,0.0001,0.9,4,6
10600,26,CartPole-v1,100000.0,0.0001,0.9,4,6
10700,23,CartPole-v1,100000.0,0.0001,0.9,4,6
10800,24,CartPole-v1,100000.0,0.0001,0.9,4,6
10900,23,CartPole-v1,100000.0,0.0001,0.9,4,6
11000,23,CartPole-v1,100000.0,0.0001,0.9,4,6
11100,24,CartPole-v1,100000.0,0.0001,0.9,4,6
11200,23,CartPole-v1,100000.0,0.0001,0.9,4,6
11300,25,CartPole-v1,100000.0,0.0001,0.9,4,6
11400,25,CartPole-v1,100000.0,0.0001,0.9,4,6
11500,24,CartPole-v1,100000.0,0.0001,0.9,4,6
11600,24,CartPole-v1,100000.0,0.0001,0.9,4,6
11700,23,CartPole-v1,100000.0,0.0001,0.9,4,6
11800,25,CartPole-v1,100000.0,0.0001,0.9,4,6
11900,24,CartPole-v1,100000.0,0.0001,0.9,4,6
12000,24,CartPole-v1,100000.0,0.0001,0.9,4,6
12100,23,CartPole-v1,100000.0,0.0001,0.9,4,6
12200,27,CartPole-v1,100000.0,0.0001,0.9,4,6
12300,22,CartPole-v1,100000.0,0.0001,0.9,4,6
12400,24,CartPole-v1,100000.0,0.0001,0.9,4,6
12500,25,CartPole-v1,100000.0,0.0001,0.9,4,6
12600,26,CartPole-v1,100000.0,0.0001,0.9,4,6
12700,27,CartPole-v1,100000.0,0.0001,0.9,4,6
12800,24,CartPole-v1,100000.0,0.0001,0.9,4,6
12900,23,CartPole-v1,100000.0,0.0001,0.9,4,6
13000,23,CartPole-v1,100000.0,0.0001,0.9,4,6
13100,25,CartPole-v1,100000.0,0.0001,0.9,4,6
13200,26,CartPole-v1,100000.0,0.0001,0.9,4,6
13300,24,CartPole-v1,100000.0,0.0001,0.9,4,6
13400,25,CartPole-v1,100000.0,0.0001,0.9,4,6
13500,24,CartPole-v1,100000.0,0.0001,0.9,4,6
