Episode,Average Reward,Environment,Max Episodes,Learning Rate,Gamma,Hidden Layers,Seed
100,20,CartPole-v1,100000.0,0.0001,0.98,4,5
200,21,CartPole-v1,100000.0,0.0001,0.98,4,5
300,20,CartPole-v1,100000.0,0.0001,0.98,4,5
400,21,CartPole-v1,100000.0,0.0001,0.98,4,5
500,17,CartPole-v1,100000.0,0.0001,0.98,4,5
600,16,CartPole-v1,100000.0,0.0001,0.98,4,5
700,14,CartPole-v1,100000.0,0.0001,0.98,4,5
800,13,CartPole-v1,100000.0,0.0001,0.98,4,5
900,12,CartPole-v1,100000.0,0.0001,0.98,4,5
1000,12,CartPole-v1,100000.0,0.0001,0.98,4,5
1100,11,CartPole-v1,100000.0,0.0001,0.98,4,5
1200,11,CartPole-v1,100000.0,0.0001,0.98,4,5
1300,11,CartPole-v1,100000.0,0.0001,0.98,4,5
1400,11,CartPole-v1,100000.0,0.0001,0.98,4,5
1500,10,CartPole-v1,100000.0,0.0001,0.98,4,5
1600,10,CartPole-v1,100000.0,0.0001,0.98,4,5
1700,10,CartPole-v1,100000.0,0.0001,0.98,4,5
1800,10,CartPole-v1,100000.0,0.0001,0.98,4,5
1900,10,CartPole-v1,100000.0,0.0001,0.98,4,5
2000,10,CartPole-v1,100000.0,0.0001,0.98,4,5
2100,10,CartPole-v1,100000.0,0.0001,0.98,4,5
2200,10,CartPole-v1,100000.0,0.0001,0.98,4,5
2300,10,CartPole-v1,100000.0,0.0001,0.98,4,5
2400,10,CartPole-v1,100000.0,0.0001,0.98,4,5
2500,9,CartPole-v1,100000.0,0.0001,0.98,4,5
2600,10,CartPole-v1,100000.0,0.0001,0.98,4,5
2700,10,CartPole-v1,100000.0,0.0001,0.98,4,5
2800,9,CartPole-v1,100000.0,0.0001,0.98,4,5
2900,10,CartPole-v1,100000.0,0.0001,0.98,4,5
3000,10,CartPole-v1,100000.0,0.0001,0.98,4,5
3100,10,CartPole-v1,100000.0,0.0001,0.98,4,5
