Episode,Average Reward,Environment,Max Episodes,Learning Rate,Gamma,Hidden Layers,Seed
100,16,CartPole-v1,100000.0,0.0005,0.95,4,6
200,10,CartPole-v1,100000.0,0.0005,0.95,4,6
300,10,CartPole-v1,100000.0,0.0005,0.95,4,6
400,10,CartPole-v1,100000.0,0.0005,0.95,4,6
500,9,CartPole-v1,100000.0,0.0005,0.95,4,6
600,9,CartPole-v1,100000.0,0.0005,0.95,4,6
700,9,CartPole-v1,100000.0,0.0005,0.95,4,6
800,9,CartPole-v1,100000.0,0.0005,0.95,4,6
900,9,CartPole-v1,100000.0,0.0005,0.95,4,6
1000,10,CartPole-v1,100000.0,0.0005,0.95,4,6
1100,12,CartPole-v1,100000.0,0.0005,0.95,4,6
1200,20,CartPole-v1,100000.0,0.0005,0.95,4,6
1300,18,CartPole-v1,100000.0,0.0005,0.95,4,6
1400,18,CartPole-v1,100000.0,0.0005,0.95,4,6
1500,23,CartPole-v1,100000.0,0.0005,0.95,4,6
1600,20,CartPole-v1,100000.0,0.0005,0.95,4,6
1700,21,CartPole-v1,100000.0,0.0005,0.95,4,6
1800,23,CartPole-v1,100000.0,0.0005,0.95,4,6
1900,23,CartPole-v1,100000.0,0.0005,0.95,4,6
2000,26,CartPole-v1,100000.0,0.0005,0.95,4,6
2100,22,CartPole-v1,100000.0,0.0005,0.95,4,6
2200,23,CartPole-v1,100000.0,0.0005,0.95,4,6
2300,21,CartPole-v1,100000.0,0.0005,0.95,4,6
2400,22,CartPole-v1,100000.0,0.0005,0.95,4,6
2500,24,CartPole-v1,100000.0,0.0005,0.95,4,6
2600,27,CartPole-v1,100000.0,0.0005,0.95,4,6
2700,24,CartPole-v1,100000.0,0.0005,0.95,4,6
2800,26,CartPole-v1,100000.0,0.0005,0.95,4,6
2900,22,CartPole-v1,100000.0,0.0005,0.95,4,6
3000,23,CartPole-v1,100000.0,0.0005,0.95,4,6
3100,24,CartPole-v1,100000.0,0.0005,0.95,4,6
3200,23,CartPole-v1,100000.0,0.0005,0.95,4,6
3300,21,CartPole-v1,100000.0,0.0005,0.95,4,6
3400,22,CartPole-v1,100000.0,0.0005,0.95,4,6
3500,23,CartPole-v1,100000.0,0.0005,0.95,4,6
3600,19,CartPole-v1,100000.0,0.0005,0.95,4,6
3700,25,CartPole-v1,100000.0,0.0005,0.95,4,6
3800,24,CartPole-v1,100000.0,0.0005,0.95,4,6
3900,25,CartPole-v1,100000.0,0.0005,0.95,4,6
4000,29,CartPole-v1,100000.0,0.0005,0.95,4,6
4100,28,CartPole-v1,100000.0,0.0005,0.95,4,6
4200,27,CartPole-v1,100000.0,0.0005,0.95,4,6
