Episode,Average Reward,Environment,Max Episodes,Learning Rate,Gamma,Hidden Layers,Seed
100,20,CartPole-v1,100000.0,0.0001,0.99,5,4
200,20,CartPole-v1,100000.0,0.0001,0.99,5,4
300,17,CartPole-v1,100000.0,0.0001,0.99,5,4
400,15,CartPole-v1,100000.0,0.0001,0.99,5,4
500,14,CartPole-v1,100000.0,0.0001,0.99,5,4
600,14,CartPole-v1,100000.0,0.0001,0.99,5,4
700,13,CartPole-v1,100000.0,0.0001,0.99,5,4
800,12,CartPole-v1,100000.0,0.0001,0.99,5,4
900,12,CartPole-v1,100000.0,0.0001,0.99,5,4
1000,11,CartPole-v1,100000.0,0.0001,0.99,5,4
1100,12,CartPole-v1,100000.0,0.0001,0.99,5,4
1200,11,CartPole-v1,100000.0,0.0001,0.99,5,4
1300,12,CartPole-v1,100000.0,0.0001,0.99,5,4
1400,11,CartPole-v1,100000.0,0.0001,0.99,5,4
1500,12,CartPole-v1,100000.0,0.0001,0.99,5,4
1600,12,CartPole-v1,100000.0,0.0001,0.99,5,4
1700,11,CartPole-v1,100000.0,0.0001,0.99,5,4
1800,11,CartPole-v1,100000.0,0.0001,0.99,5,4
1900,12,CartPole-v1,100000.0,0.0001,0.99,5,4
2000,12,CartPole-v1,100000.0,0.0001,0.99,5,4
2100,12,CartPole-v1,100000.0,0.0001,0.99,5,4
2200,12,CartPole-v1,100000.0,0.0001,0.99,5,4
2300,13,CartPole-v1,100000.0,0.0001,0.99,5,4
2400,13,CartPole-v1,100000.0,0.0001,0.99,5,4
2500,12,CartPole-v1,100000.0,0.0001,0.99,5,4
2600,12,CartPole-v1,100000.0,0.0001,0.99,5,4
2700,14,CartPole-v1,100000.0,0.0001,0.99,5,4
2800,16,CartPole-v1,100000.0,0.0001,0.99,5,4
2900,18,CartPole-v1,100000.0,0.0001,0.99,5,4
3000,18,CartPole-v1,100000.0,0.0001,0.99,5,4
3100,20,CartPole-v1,100000.0,0.0001,0.99,5,4
3200,18,CartPole-v1,100000.0,0.0001,0.99,5,4
