Episode,Average Reward,Environment,Max Episodes,Learning Rate,Gamma,Hidden Layers,Seed
100,16,CartPole-v1,100000.0,0.0005,0.99,5,7
200,10,CartPole-v1,100000.0,0.0005,0.99,5,7
300,9,CartPole-v1,100000.0,0.0005,0.99,5,7
400,9,CartPole-v1,100000.0,0.0005,0.99,5,7
500,9,CartPole-v1,100000.0,0.0005,0.99,5,7
600,9,CartPole-v1,100000.0,0.0005,0.99,5,7
700,9,CartPole-v1,100000.0,0.0005,0.99,5,7
800,9,CartPole-v1,100000.0,0.0005,0.99,5,7
900,9,CartPole-v1,100000.0,0.0005,0.99,5,7
1000,9,CartPole-v1,100000.0,0.0005,0.99,5,7
1100,9,CartPole-v1,100000.0,0.0005,0.99,5,7
1200,9,CartPole-v1,100000.0,0.0005,0.99,5,7
1300,9,CartPole-v1,100000.0,0.0005,0.99,5,7
1400,9,CartPole-v1,100000.0,0.0005,0.99,5,7
1500,9,CartPole-v1,100000.0,0.0005,0.99,5,7
1600,9,CartPole-v1,100000.0,0.0005,0.99,5,7
1700,9,CartPole-v1,100000.0,0.0005,0.99,5,7
1800,9,CartPole-v1,100000.0,0.0005,0.99,5,7
1900,9,CartPole-v1,100000.0,0.0005,0.99,5,7
2000,9,CartPole-v1,100000.0,0.0005,0.99,5,7
2100,9,CartPole-v1,100000.0,0.0005,0.99,5,7
2200,9,CartPole-v1,100000.0,0.0005,0.99,5,7
2300,9,CartPole-v1,100000.0,0.0005,0.99,5,7
2400,10,CartPole-v1,100000.0,0.0005,0.99,5,7
2500,16,CartPole-v1,100000.0,0.0005,0.99,5,7
2600,12,CartPole-v1,100000.0,0.0005,0.99,5,7
2700,12,CartPole-v1,100000.0,0.0005,0.99,5,7
2800,16,CartPole-v1,100000.0,0.0005,0.99,5,7
2900,22,CartPole-v1,100000.0,0.0005,0.99,5,7
3000,20,CartPole-v1,100000.0,0.0005,0.99,5,7
3100,29,CartPole-v1,100000.0,0.0005,0.99,5,7
3200,32,CartPole-v1,100000.0,0.0005,0.99,5,7
3300,38,CartPole-v1,100000.0,0.0005,0.99,5,7
3400,45,CartPole-v1,100000.0,0.0005,0.99,5,7
3500,52,CartPole-v1,100000.0,0.0005,0.99,5,7
3600,57,CartPole-v1,100000.0,0.0005,0.99,5,7
3700,62,CartPole-v1,100000.0,0.0005,0.99,5,7
3800,66,CartPole-v1,100000.0,0.0005,0.99,5,7
3900,73,CartPole-v1,100000.0,0.0005,0.99,5,7
4000,90,CartPole-v1,100000.0,0.0005,0.99,5,7
4100,186,CartPole-v1,100000.0,0.0005,0.99,5,7
4200,82,CartPole-v1,100000.0,0.0005,0.99,5,7
4300,77,CartPole-v1,100000.0,0.0005,0.99,5,7
4400,79,CartPole-v1,100000.0,0.0005,0.99,5,7
4500,92,CartPole-v1,100000.0,0.0005,0.99,5,7
