Episode,Episode Score,Environment,Max Episodes,Learning Rate,Gamma,Seed
1,24.0,CartPole-v1,100000.0,0.001,0.99,5
2,13.0,CartPole-v1,100000.0,0.001,0.99,5
3,12.0,CartPole-v1,100000.0,0.001,0.99,5
4,19.0,CartPole-v1,100000.0,0.001,0.99,5
5,25.0,CartPole-v1,100000.0,0.001,0.99,5
6,25.0,CartPole-v1,100000.0,0.001,0.99,5
7,10.0,CartPole-v1,100000.0,0.001,0.99,5
8,17.0,CartPole-v1,100000.0,0.001,0.99,5
9,11.0,CartPole-v1,100000.0,0.001,0.99,5
10,40.0,CartPole-v1,100000.0,0.001,0.99,5
11,13.0,CartPole-v1,100000.0,0.001,0.99,5
12,15.0,CartPole-v1,100000.0,0.001,0.99,5
13,33.0,CartPole-v1,100000.0,0.001,0.99,5
14,39.0,CartPole-v1,100000.0,0.001,0.99,5
15,16.0,CartPole-v1,100000.0,0.001,0.99,5
16,17.0,CartPole-v1,100000.0,0.001,0.99,5
17,17.0,CartPole-v1,100000.0,0.001,0.99,5
18,68.0,CartPole-v1,100000.0,0.001,0.99,5
19,17.0,CartPole-v1,100000.0,0.001,0.99,5
20,12.0,CartPole-v1,100000.0,0.001,0.99,5
21,17.0,CartPole-v1,100000.0,0.001,0.99,5
22,14.0,CartPole-v1,100000.0,0.001,0.99,5
23,36.0,CartPole-v1,100000.0,0.001,0.99,5
24,27.0,CartPole-v1,100000.0,0.001,0.99,5
25,49.0,CartPole-v1,100000.0,0.001,0.99,5
26,14.0,CartPole-v1,100000.0,0.001,0.99,5
27,31.0,CartPole-v1,100000.0,0.001,0.99,5
28,10.0,CartPole-v1,100000.0,0.001,0.99,5
29,55.0,CartPole-v1,100000.0,0.001,0.99,5
30,34.0,CartPole-v1,100000.0,0.001,0.99,5
31,14.0,CartPole-v1,100000.0,0.001,0.99,5
32,12.0,CartPole-v1,100000.0,0.001,0.99,5
33,12.0,CartPole-v1,100000.0,0.001,0.99,5
34,18.0,CartPole-v1,100000.0,0.001,0.99,5
35,18.0,CartPole-v1,100000.0,0.001,0.99,5
36,11.0,CartPole-v1,100000.0,0.001,0.99,5
37,12.0,CartPole-v1,100000.0,0.001,0.99,5
38,14.0,CartPole-v1,100000.0,0.001,0.99,5
39,33.0,CartPole-v1,100000.0,0.001,0.99,5
40,11.0,CartPole-v1,100000.0,0.001,0.99,5
41,28.0,CartPole-v1,100000.0,0.001,0.99,5
42,15.0,CartPole-v1,100000.0,0.001,0.99,5
43,21.0,CartPole-v1,100000.0,0.001,0.99,5
44,22.0,CartPole-v1,100000.0,0.001,0.99,5
45,15.0,CartPole-v1,100000.0,0.001,0.99,5
46,29.0,CartPole-v1,100000.0,0.001,0.99,5
47,17.0,CartPole-v1,100000.0,0.001,0.99,5
48,27.0,CartPole-v1,100000.0,0.001,0.99,5
49,22.0,CartPole-v1,100000.0,0.001,0.99,5
50,22.0,CartPole-v1,100000.0,0.001,0.99,5
51,44.0,CartPole-v1,100000.0,0.001,0.99,5
52,9.0,CartPole-v1,100000.0,0.001,0.99,5
53,15.0,CartPole-v1,100000.0,0.001,0.99,5
54,16.0,CartPole-v1,100000.0,0.001,0.99,5
55,19.0,CartPole-v1,100000.0,0.001,0.99,5
56,9.0,CartPole-v1,100000.0,0.001,0.99,5
57,32.0,CartPole-v1,100000.0,0.001,0.99,5
