Episode,Episode Score,Environment,Max Episodes,Seed
1,11.0,CartPole-v1,100000.0,9
2,10.0,CartPole-v1,100000.0,9
3,11.0,CartPole-v1,100000.0,9
4,35.0,CartPole-v1,100000.0,9
5,10.0,CartPole-v1,100000.0,9
6,25.0,CartPole-v1,100000.0,9
7,18.0,CartPole-v1,100000.0,9
8,18.0,CartPole-v1,100000.0,9
9,16.0,CartPole-v1,100000.0,9
10,26.0,CartPole-v1,100000.0,9
11,25.0,CartPole-v1,100000.0,9
12,15.0,CartPole-v1,100000.0,9
13,11.0,CartPole-v1,100000.0,9
14,30.0,CartPole-v1,100000.0,9
15,17.0,CartPole-v1,100000.0,9
16,38.0,CartPole-v1,100000.0,9
17,15.0,CartPole-v1,100000.0,9
18,64.0,CartPole-v1,100000.0,9
19,12.0,CartPole-v1,100000.0,9
20,19.0,CartPole-v1,100000.0,9
21,37.0,CartPole-v1,100000.0,9
22,36.0,CartPole-v1,100000.0,9
23,19.0,CartPole-v1,100000.0,9
24,25.0,CartPole-v1,100000.0,9
25,9.0,CartPole-v1,100000.0,9
26,23.0,CartPole-v1,100000.0,9
27,19.0,CartPole-v1,100000.0,9
28,12.0,CartPole-v1,100000.0,9
29,10.0,CartPole-v1,100000.0,9
30,16.0,CartPole-v1,100000.0,9
31,13.0,CartPole-v1,100000.0,9
32,36.0,CartPole-v1,100000.0,9
33,28.0,CartPole-v1,100000.0,9
34,13.0,CartPole-v1,100000.0,9
35,34.0,CartPole-v1,100000.0,9
36,19.0,CartPole-v1,100000.0,9
37,19.0,CartPole-v1,100000.0,9
38,18.0,CartPole-v1,100000.0,9
39,10.0,CartPole-v1,100000.0,9
40,13.0,CartPole-v1,100000.0,9
41,25.0,CartPole-v1,100000.0,9
42,35.0,CartPole-v1,100000.0,9
43,12.0,CartPole-v1,100000.0,9
44,27.0,CartPole-v1,100000.0,9
45,10.0,CartPole-v1,100000.0,9
46,12.0,CartPole-v1,100000.0,9
47,49.0,CartPole-v1,100000.0,9
48,21.0,CartPole-v1,100000.0,9
49,14.0,CartPole-v1,100000.0,9
50,23.0,CartPole-v1,100000.0,9
51,15.0,CartPole-v1,100000.0,9
52,11.0,CartPole-v1,100000.0,9
53,14.0,CartPole-v1,100000.0,9
54,36.0,CartPole-v1,100000.0,9
55,55.0,CartPole-v1,100000.0,9
56,17.0,CartPole-v1,100000.0,9
57,12.0,CartPole-v1,100000.0,9
58,25.0,CartPole-v1,100000.0,9
59,13.0,CartPole-v1,100000.0,9
60,15.0,CartPole-v1,100000.0,9
61,12.0,CartPole-v1,100000.0,9
62,20.0,CartPole-v1,100000.0,9
63,14.0,CartPole-v1,100000.0,9
64,13.0,CartPole-v1,100000.0,9
65,25.0,CartPole-v1,100000.0,9
66,16.0,CartPole-v1,100000.0,9
67,16.0,CartPole-v1,100000.0,9
68,13.0,CartPole-v1,100000.0,9
69,27.0,CartPole-v1,100000.0,9
70,19.0,CartPole-v1,100000.0,9
71,25.0,CartPole-v1,100000.0,9
72,14.0,CartPole-v1,100000.0,9
73,14.0,CartPole-v1,100000.0,9
74,38.0,CartPole-v1,100000.0,9
75,52.0,CartPole-v1,100000.0,9
76,9.0,CartPole-v1,100000.0,9
77,13.0,CartPole-v1,100000.0,9
78,52.0,CartPole-v1,100000.0,9
79,15.0,CartPole-v1,100000.0,9
80,19.0,CartPole-v1,100000.0,9
81,12.0,CartPole-v1,100000.0,9
82,12.0,CartPole-v1,100000.0,9
83,17.0,CartPole-v1,100000.0,9
